Author Handle,ID,Age,Like Count,Fetched On,Action,Text
klevonn_,C6KIli3xvT_-comment-2,5d,1,"""2024-05-15 18:59:18""",comment,song?
welov3realbleeda,C6M-xDmso2C,4d,0,"""2024-05-15 18:59:18""",Post,What you say bleeda bx ? 🧏🏾‍♂️🩸 #realbleedasnippet #wlrb #realbleedamusic #realbleeda
welov3realbleeda,C6Pp4J_M0NM,3d,0,"""2024-05-15 18:59:18""",Post,its Gon Be Okay 🩸🔥 #realbleeda #ʀᴇᴀʟʙʟᴇᴇᴅᴀ #wlrb #realbleeda🌪️ #weloverealbleeda #llbleedaandclif❤️‍🩹
jaestayloww,C6Pp4J_M0NM-comment-1,3d,1,"""2024-05-15 18:59:18""",comment,🩸
welov3realbleeda,C6QlzY0uqDE,3d,0,"""2024-05-15 18:59:18""",Post,Full live on my yt channel link in bio #wlrb🩸 #realbleeda #weloverealbleeda2
welov3realbleeda,C6RQJR3LToN,3d,0,"""2024-05-15 18:59:18""",Post,How you wan do it Whatchu wan do ? 🧏🏾‍♂️ #wlrb #ʀᴇᴀʟʙʟᴇᴇᴅᴀ #realbleeda🩸 #realbleedasnippet
tookie_.baddazz,C6RQJR3LToN-comment-1,3d,0,"""2024-05-15 18:59:18""",comment,🔥🔥
welov3realbleeda,C6Us-PbM2fA,1d,0,"""2024-05-15 18:59:18""",Post,🩸🩸🔥 #wlrb #realbleeda #weloverealbleeda #15141819💔
welov3realbleeda,C6V9h29L_Uz,1d,0,"""2024-05-15 18:59:18""",Post,dae you promoting violence tell me what I ain’t know #realbleeda🩸 #wlrb #15141819💔
welov3realbleeda,C6WBPGgrcTH,1d,0,"""2024-05-15 18:59:18""",Post,"Whole lotta wayyyy shii #llbleeda💔 #15141819💔
#wlrb #ʀᴇᴀʟʙʟᴇᴇᴅᴀ #truebleeda"
welov3realbleeda,C6WfYuELLsE,1d,0,"""2024-05-15 18:59:18""",Post,H🅱️D @iam40glockcyou free u #4gs💜 #realbleeda #wlrb #15141819💔 #llbleedaandclif❤️‍🩹
staydownboyz,C6WfYuELLsE-comment-1,1d,1,"""2024-05-15 18:59:18""",comment,Free 40
welov3realbleeda,C6XV9kaslTy,18h,0,"""2024-05-15 18:59:18""",Post,It’s gon be okay out out now #realbleeda #wlrb #15141819💔 #realbleedamusic
heyyy30_,C6XV9kaslTy-comment-1,17h,1,"""2024-05-15 18:59:18""",comment,The song to short😢😢😢
welov3realbleeda,C6XV9kaslTy-comment-2,17h,1,"""2024-05-15 18:59:18""",comment,@heyyy30_ don’t worry the album drops in 2 days
heyyy30_,C6XV9kaslTy-comment-3,17h,0,"""2024-05-15 18:59:18""",comment,@welov3realbleeda Bett that upppp
welov3realbleeda,C6YtB1ArPMd,5h,0,"""2024-05-15 18:59:18""",Post,DAE hit 50k subscribers 🩸🩸🩸🐐🐐🐐 #wlrb #realbleedamusic #ʀᴇᴀʟʙʟᴇᴇᴅᴀ #15141819💔
welov3realbleeda,C6YyySNLeG5,4h,0,"""2024-05-15 18:59:18""",Post,Big Ahh Flawless Diamonds Shining Dem Bxs chunkiee 💎🩸 #wlrb #ʀᴇᴀʟʙʟᴇᴇᴅᴀ #weloverealbleeda #ʀᴇᴀʟʙʟᴇᴇᴅᴀ🩸 #15141819💔
welov3realbleeda,C20rC84RjWy,12w,0,"""2024-05-15 18:59:18""",Reel,🩸🩸🔥 #ЯB #bleedagang #llbleeda #llcliff💔 #1514 #weloverealbleeda
realbleedaa_,C20rC84RjWy-comment-1,12w,1,"""2024-05-15 18:59:18""",comment,🅱️🩸eedas ‼️
t3frmdat0akk,C20rC84RjWy-comment-2,12w,0,"""2024-05-15 18:59:18""",comment,murda bout my bleeda🔥🔥👏🏿
welov3realbleeda,C22Qh7Hrny_,12w,0,"""2024-05-15 18:59:18""",Reel,Realbleeda- “Bae” music video Out Now link bio #weloverealbleeda2 #ЯB #realbleeda #15141819💔
realbleedaa_,C23umj7sg9h,12w,0,"""2024-05-15 18:59:18""",Reel,"This mane flashed 😭😭🩸#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
noway_da2,C23umj7sg9h-comment-1,12w,0,"""2024-05-15 18:59:18""",comment,Arm
noway_da2,C23umj7sg9h-comment-2,12w,0,"""2024-05-15 18:59:18""",comment,1️⃣
realbleedaa_,C25kQZfxT_r,12w,0,"""2024-05-15 18:59:18""",Reel,"Exotic inventory out now 🗣️🅱️🩸eeda #Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
tecca.4k,C25kQZfxT_r-comment-1,12w,0,"""2024-05-15 18:59:18""",comment,🔥🔥
welov3realbleeda,C27QzzpOIS9,12w,0,"""2024-05-15 18:59:18""",Reel,(FreeJoker LLWeb LLBleeda 💜🩸) #weloverealbleeda2 #tmhjoker #54dondada #webthablock🕸️ #truebleeda #ЯB #OK
longlivejay225,C27QzzpOIS9-comment-1,9w,1,"""2024-05-15 18:59:18""",comment,🔥
bra3._,C27QzzpOIS9-comment-2,12w,1,"""2024-05-15 18:59:18""",comment,Wat tht bih called
welov3realbleeda,C27QzzpOIS9-comment-3,12w,0,"""2024-05-15 18:59:18""",comment,@bms._3 come get a kill
realbleedaa_,C2B_kVZsD3F,15w,0,"""2024-05-15 18:59:18""",Post,"I done put 🤷🏾‍♂️👨🏾‍🦽legs 🆙 #Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
bbyblow4l,C2B_kVZsD3F-comment-1,15w,1,"""2024-05-15 18:59:18""",comment,🔥🔥
yvvedd,C2B_kVZsD3F-comment-2,15w,0,"""2024-05-15 18:59:18""",comment,🔥🔥
welov3realbleeda,C2B_kVZsD3F-comment-3,15w,1,"""2024-05-15 18:59:18""",comment,“🛑 acting crazy bx yk actually what he dead fa”
realbleedaa_,C2dkwobsGEj,13w,0,"""2024-05-15 18:59:18""",Reel,"🩸🩸🗣️🅱️#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
welov3realbleeda,C2DRY7wxj2A,15w,0,"""2024-05-15 18:59:18""",Reel,“I Went Got My Memories Out The Puddle I Love Ya Like Ya kin Of Me like No Other 💯” #realbleeda #weloverealbleedaedit #15141819 #memoryoutthepuddle #bleedagang
welov3realbleeda,C2E5_z7u_iD,15w,0,"""2024-05-15 18:59:18""",Reel,“Drop uhlotta shells and leave shxt bloody 🩸 if we catch a slime🐍🤐” #weloverealbleedaedit #welov3realbleeda #realbleeda #weloverealbleeda2 #15141819💔 (follow my bck up)
welov3realbleeda,C2eCAj8MukN,13w,0,"""2024-05-15 18:59:18""",Reel,Dropping this @ 12
vaultofkay,C2eCAj8MukN-comment-1,13w,1,"""2024-05-15 18:59:18""",comment,U got stay alive ?
welov3realbleeda,C2ersxMOHff,13w,0,"""2024-05-15 18:59:18""",Reel,💔🕊️
welov3realbleeda,C2eWB4iuYXE,13w,0,"""2024-05-15 18:59:18""",Reel,Happy 🩸 day #foreverbleeding #truebleeda #lldee #1819 #weloverealbleedaedit
murdababy2x,C2eWB4iuYXE-comment-1,13w,2,"""2024-05-15 18:59:18""",comment,even though he passed away he will always be one of my favourite artists❤️ LLBLEEDA
23jayv,C2eWB4iuYXE-comment-2,13w,1,"""2024-05-15 18:59:18""",comment,LLbleeda
welov3realbleeda,C2ff1g1xI4s,13w,0,"""2024-05-15 18:59:18""",Reel,“And I’m the type of nigga tha slap a nigga big homie “😂 #weloverealbleeda #foreverdee💔🕊️ #llbleeda #llcliff💔 #15141819💔
welov3realbleeda,C2GfXyHRX0r,15w,0,"""2024-05-15 18:59:18""",Reel,“Been Ballin on dese Bx’s ain’t talking no love & basketball 🏀 “#realbleeda #15141819💔 #weloverealbleeda
welov3realbleeda,C2gQEVUMRIc,13w,0,"""2024-05-15 18:59:18""",Reel,Tha sickest 🩸#llbleeda #15141819 #weloverealbleeda #llcliff💔 #llmone #llree
welov3realbleeda,C2h1TFdrQy7,13w,0,"""2024-05-15 18:59:18""",Reel,Freedembleedaz🩸 #lldembleedaz #realbleeda #weloverealbleeda #15141819
pb4l__walkdown,C2h1TFdrQy7-comment-1,13w,1,"""2024-05-15 18:59:18""",comment,song name step 4 real
welov3realbleeda,C2h1TFdrQy7-comment-2,13w,1,"""2024-05-15 18:59:18""",comment,@pb4l__walkdown step 4 free
realbleedaa_,C2HClOisxTT,15w,0,"""2024-05-15 18:59:18""",Reel,"🩸🩸‼️#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
welov3realbleeda,C2JaDSHN1_P,15w,0,"""2024-05-15 18:59:18""",Reel,Dropping this tonight 🩸🔥#weloverealbleeda2 #realbleedaunreleased #15141819
welov3realbleeda,C2ji-DUOmpi,13w,0,"""2024-05-15 18:59:18""",Reel,Dae just waiting fa the blunt 😂😂 #realbleeda🩸 #weloverealbleeda #llbleeda #15141819
1418yungin,C2ji-DUOmpi-comment-1,13w,1,"""2024-05-15 18:59:18""",comment,💯k🕊️
welov3realbleeda,C2JLfPpxgdw,15w,0,"""2024-05-15 18:59:18""",Reel,“We Been Every Block With A Fully Choppas Come Fa Tha Pick Shit Out🩸🀄️” #realbleeda 15141819💔 #weloverealbleedaedit #realbleedasnippet
jeezyy187,C2JLfPpxgdw-comment-1,15w,1,"""2024-05-15 18:59:18""",comment,lemme get him!
welov3realbleeda,C2JLfPpxgdw-comment-2,15w,0,"""2024-05-15 18:59:18""",comment,@jeezyy187 I don’t have it but I got others songs
tazzfrmclj,C2JLfPpxgdw-comment-3,9w,0,"""2024-05-15 18:59:18""",comment,@jeezyy187 I got it
tazzfrmclj,C2JLfPpxgdw-comment-4,9w,0,"""2024-05-15 18:59:18""",comment,I got this song
jeezyy187,C2JLfPpxgdw-comment-5,15w,1,"""2024-05-15 18:59:18""",comment,name?
welov3realbleeda,C2JLfPpxgdw-comment-6,15w,0,"""2024-05-15 18:59:18""",comment,“I come through just like a 🚂 get in tha way and get fucked over” 🀄️🩸
tazzfrmclj,C2JLfPpxgdw-comment-7,9w,0,"""2024-05-15 18:59:18""",comment,Finna send it too you
welov3realbleeda,C2KIKZKOuXn,15w,0,"""2024-05-15 18:59:18""",Reel,“My big bro just copped another Drac Yeah that’s some bad news 🩸🤫” #llbleeda #foveverbleedin #1819 #truebleeda #forever18🕊
welov3realbleeda,C2kt_yGRqbO,13w,0,"""2024-05-15 18:59:18""",Reel,@_223teeno & @rugerrudy 🔥🩸 just dropped on glock channel #bleedabiz #15141819💔 #weloverealbleeda
welov3realbleeda,C2ldkUos07Z,13w,0,"""2024-05-15 18:59:18""",Reel,Oh yeah y’all bxs flashed
23jayv,C2ldkUos07Z-comment-1,13w,1,"""2024-05-15 18:59:18""",comment,Song
welov3realbleeda,C2ldkUos07Z-comment-2,13w,0,"""2024-05-15 18:59:18""",comment,@23jayv it’s finna be on my channel in a min
23jayv,C2ldkUos07Z-comment-3,13w,1,"""2024-05-15 18:59:18""",comment,@welov3realbleeda bet
welov3realbleeda,C2LJZlLxUnO,14w,0,"""2024-05-15 18:59:18""",Reel,Pull throw bullets like a quarterback 🩸#realbleeda #weloverealbleeda #15141819💔
realbleedaa_,C2LUUubxWer,14w,0,"""2024-05-15 18:59:18""",Reel,"🩸🩸🩸‼️🫣#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
welov3realbleeda,C2M2FQXudIE,14w,0,"""2024-05-15 18:59:18""",Reel,Get At Us We Get At You Hit At Us We Hit At 🫵🏾#forever23💔 #ll23 #bleedagang🩸 #realbleeda🩸#jaydayoungan #weloverealbleedaedit #23xR🅱️
lila_trxppin41,C2M2FQXudIE-comment-1,14w,1,"""2024-05-15 18:59:18""",comment,@nuk5kk 🧟‍♂️👣
welov3realbleeda,C2Mtgmku7wA,14w,0,"""2024-05-15 18:59:18""",Reel,He really came a long way 🔥⭐️#realbleeda #weloverealbleededit #15141819💔
saychessetv_promotion,C2Mtgmku7wA-comment-1,9w,0,"""2024-05-15 18:59:18""",comment,DM me
welov3realbleeda,C2mTyTUOPQq,13w,0,"""2024-05-15 18:59:18""",Reel,@1mercybeatz & @realbleeda_ needa hurry up and drop this 🤦🏾
welov3realbleeda,C2MvZeUufIR,14w,0,"""2024-05-15 18:59:18""",Reel,Payback out now link in my bio #weloverealbleeda #realbleeda #15141819 #llweb
welov3realbleeda,C2Ni5oVOzba,14w,0,"""2024-05-15 18:59:18""",Reel,“No one love me no more fxkin pain ❤️‍🩹” #realbleeda #weloverealbleedaedit #15141819💔
realbleedaa_,C2nRR8vx4ti,13w,0,"""2024-05-15 18:59:18""",Reel,"I want dat 🐈 inna sky 🗣️🩸#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
freedemsmackaz,C2nRR8vx4ti-comment-1,4w,0,"""2024-05-15 18:59:18""",comment,Song?
sjsjsjssjsjwjwjw,C2nRR8vx4ti-comment-2,13w,1,"""2024-05-15 18:59:18""",comment,🔥🔥🔥
welov3realbleeda,C2OCclEOMdF,14w,0,"""2024-05-15 18:59:18""",Reel,“ion fw nigga make em move around cause they be hoes”🀄️🩸#babytoke #NTB #weloverealbleedaedit #realbleeda #15141819💔
welov3realbleeda,C2Q2C1PMQLF,8w,0,"""2024-05-15 18:59:18""",Reel,BrOke AhH Op’s 😂#realbleeda #weloverealbleeda #llbleeda💔 #llcliff #1514 #llweb🕸️
welov3realbleeda,C2QiGg3x25S,14w,0,"""2024-05-15 18:59:18""",Reel,“Murda fa my brudda I can say that I did tht🩸” #realbleeda #ЯB #weloverealbleedaedit #weloverealbleda2#15141819💔
realbleedaa_,C2QiGg3x25S-comment-1,12w,1,"""2024-05-15 18:59:18""",comment,Step on yo Patna don’t 🏃🏾‍♂️ na 🗣️🩸
realbleedaa_,C2qQSXSRRoo,13w,0,"""2024-05-15 18:59:18""",Post,"Or stuck to a chair 🪑 🤐🩸‼️#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
2famous.la,C2qQSXSRRoo-comment-1,3w,0,"""2024-05-15 18:59:18""",comment,Yurrrrrrr🔥👏💯
welov3realbleeda,C2rn755OK93,13w,0,"""2024-05-15 18:59:18""",Reel,Df is he doing 😂 #realbleeda #weloverealbleeda
welov3realbleeda,C2rqsYuuzyG,13w,0,"""2024-05-15 18:59:18""",Reel,“She gon tell me and my 🩸 where u stay” #weloverealbleedaedit #realbleeda #15141819💔
realbleedaa_,C2soZTpxgB0,13w,0,"""2024-05-15 18:59:18""",Reel,"In all ⚫️make ah 🥷 🅱️🩸eed 🗣️#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
40glockcyou3,C2TL62GuIkd,14w,0,"""2024-05-15 18:59:18""",Reel,Live 🀄️🀄️🀄️
buffytheentertainer,C2TL62GuIkd-comment-1,14w,1,"""2024-05-15 18:59:18""",comment,👏👏👏🔥
welov3realbleeda,C2TL62GuIkd-comment-2,14w,0,"""2024-05-15 18:59:18""",comment,🔥🔥
welov3realbleeda,C2U54euLZBW,14w,0,"""2024-05-15 18:59:18""",Reel,“Evil in my Spirit I See Demons in my Dreams 💤” #Lirye #weloverealbleedaedit #liryedit #26k
welov3realbleeda,C2UbrWou53e,14w,0,"""2024-05-15 18:59:18""",Reel,😂😂#realbleeda #weloverealbleeda #15141819💔 #llhk
welov3realbleeda,C2uG1A3OL-I,13w,0,"""2024-05-15 18:59:18""",Reel,🩸🩸🔥🔥#realbleeda #weloverealbleeda #15141819💔
welov3realbleeda,C2UTh5muVVa,14w,0,"""2024-05-15 18:59:18""",Reel,"""YK Shit Ain't Been The Same I Been Missing Cliff & Dee""🩸🕊#1819 #llcliff #lldee #llhk #weloverealbleedaedit"
welov3realbleeda,C2VMqgpR0qL,14w,0,"""2024-05-15 18:59:18""",Reel,When Dae played all black snippet #weloverealbleeda #realbleeda
realbleedaa_,C2VWIihxkYE,14w,0,"""2024-05-15 18:59:18""",Reel,"Yk my 🅱️leedas 🩸 gone 🅱️leed da scene and leave 1️⃣ 🅱️leeding gasping fa air #Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
welov3realbleeda,C2VWIihxkYE-comment-1,14w,1,"""2024-05-15 18:59:18""",comment,🔥
thatskayy.__,C2VWIihxkYE-comment-2,14w,2,"""2024-05-15 18:59:18""",comment,Whole lotta bleeda shxttt ! Litt nigga 🤣🤣🔥
btd.scooter3x,C2VWIihxkYE-comment-3,14w,1,"""2024-05-15 18:59:18""",comment,🩸🩸bleeda🥷🏾
nfb_tayskii,C2VWIihxkYE-comment-4,14w,0,"""2024-05-15 18:59:18""",comment,Song?
welov3realbleeda,C2w5hBWrhhM,12w,0,"""2024-05-15 18:59:18""",Reel,#oldedit #realbleeda #weloverealbleedaedit
iiaamm._.diamond,C2w5hBWrhhM-comment-1,12w,1,"""2024-05-15 18:59:18""",comment,💯💯💯
inthenameofgee_,C2w5hBWrhhM-comment-2,12w,0,"""2024-05-15 18:59:18""",comment,😂😂
inthenameofgee_,C2w5hBWrhhM-comment-3,12w,0,"""2024-05-15 18:59:18""",comment,You crazy fr how u make dese 😂
welov3realbleeda,C2w5hBWrhhM-comment-4,12w,1,"""2024-05-15 18:59:18""",comment,@inthenameofgee_ CapCut 😂
inthenameofgee_,C2w5hBWrhhM-comment-5,12w,1,"""2024-05-15 18:59:18""",comment,@welov3realbleeda bet 🅱️🩸eeda
realbleedaa_,C2X-eH9x8Gw,14w,0,"""2024-05-15 18:59:18""",Post,"Ain’t no 🌪️ 🌪️🩸🅱️leeda 🩸🗣️#Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
welov3realbleeda,C30fn4aRNyr,9w,0,"""2024-05-15 18:59:18""",Reel,#weloverealbleeda #realbleeda #15141819.
realbleedaa_,C3AYQTrrMDR,12w,0,"""2024-05-15 18:59:18""",Reel,"Rather stay da same before I go and do wat u do #Longlivebleeda #longlivecliff #tgkommas#rugerrudy#longlivefreethrow #batonrouge #viral #zioncity #5400block m#forvercuttie #makeaniggableed🩸#explorepage
- [x] #riplilmonemane #LLTMeezy 🩸💜
- [ ] #TIP 🕸️💜‼️"
cmp_.jo,C3AYQTrrMDR-comment-1,12w,2,"""2024-05-15 18:59:18""",comment,Song?
