Author Handle,ID,Age,Like Count,Fetched On,Action,Text
1rugerrudy,CqRfneOrzAi,56w,0,"""2024-05-15 18:59:18""",Reel,JRW 🩸☢️( Juvenile Runnin Wild) OFFICIAL MUSIC #OUTNOW 🔥🔥 ON MY YOUTUBE #ALLFACTS 🧟‍♂️ GO #SUBSCRIBE RUGER5.7 ON ALL PLATFORMS 💯 #FREEDEMEMBERS #LINKINBIO SHOT BY @shotbygtf PRODUCED BY @camchords
1rugerrudy,CzKSk9zrw4G,25w,0,"""2024-05-15 18:59:18""",Reel,FIRST DAY OUT #OUTNOW ON @youtube 🔥 #BLEEDABIZ🩸 NEW TAPE OTW #SELFEXPLANATORY
40lidae,C1YtXh5ArRD,17w,0,"""2024-05-15 18:59:18""",Post,It’s a blessing I’m not dead I’m the real life reaper 🀄️ #freethefamily #llmysoldiers🕊❤️
rugerrudy,C1YtXh5ArRD-comment-5,17w,2,"""2024-05-15 18:59:18""",comment,🩸❤️‍🔥
meezybleeda,C1YtXh5ArRD-comment-6,17w,2,"""2024-05-15 18:59:18""",comment,🔥
realbleeda_,C1YtXh5ArRD-comment-11,16w,3,"""2024-05-15 18:59:18""",comment,🩸🖤
_54dableeda,C1YtXh5ArRD-comment-12,17w,7,"""2024-05-15 18:59:18""",comment,#Mr.imreadytho
40lidae,Co8MZ7zOesI,61w,0,"""2024-05-15 18:59:18""",Post,SuperVillain I’m Undefeated🀄️ #llmysoldiers🕊 #freethefamily🀄️🫶🏾
meezybleeda,Co8MZ7zOesI-comment-20,61w,0,"""2024-05-15 18:59:18""",comment,❤️
40lidae,Cz68DKpuOFg,22w,0,"""2024-05-15 18:59:18""",Post,If Yall Was Standing On Yall Name I Would’ve Probably Flood Yall 🀄️ #freethefamily🔓#llmysoldiers🕊
meezybleeda,Cz68DKpuOFg-comment-1,21w,1,"""2024-05-15 18:59:18""",comment,❤️
_54dableeda,Cz68DKpuOFg-comment-6,22w,1,"""2024-05-15 18:59:18""",comment,dae💜
5xcapone,C6UnzBwscRH,1d,0,"""2024-05-15 18:59:18""",Post,“ DRAG EM 2 HELL “ OUT NOW 💎⬇️ LINK in my Bio #3K
5xcapone,C6USLdpOUQh,1d,0,"""2024-05-15 18:59:18""",Post,2 Opps they dead they hate me 🩸🩸💀 #3K #PampasBaby #explore
5xcapone,C6Ut98gsvBu,1d,0,"""2024-05-15 18:59:18""",Post,👹👹👹 big drac blow out the pick up truck 🛻 #3K
5xcapone,CDy_1mYjJCe,193w,0,"""2024-05-15 18:59:18""",Post,📈🎭⚰️
5xcapone,CFDwJFXMoeu,189w,0,"""2024-05-15 18:59:18""",Post,22 But 50 Shots In The blicky 🥁💥 #TJE #5G
5xcapone,CHHJCTDnz16,182w,0,"""2024-05-15 18:59:18""",Post,Bitch We Strappedddd Up and want get In some SHIT 5️⃣✅⚡️ #outnow #CGRNG #5
5xcapone,CHonn9osuqc,180w,0,"""2024-05-15 18:59:18""",Post,Nigga 5ay they Got 💰 on my head 🤯 It Must Be false or his shooters must be scared 😏🎥⚡️✅ #BagUp #darklightbulbentertainment #videoshoot🎥 #gravedigger #5 #explorepage
